X,Y,Comment,Corr_Type,GPS_Date,GPS_Time,Feat_Name,Datafile,Unfilt_Pos,Filt_Pos,GPS_Week,GPS_Second,GNSS_Heigh,Vert_Prec,Horz_Prec,Std_Dev,Latitude,Longitude,Point_ID
-120.539495837292,44.458778186421,,Real-time SBAS Corrected,2022/07/13,12:33:02pm,Point_generic,HRCN1.cor,"267","267","2218",329600.000,1245.353,1.3,1.4,4.525561,"44.458778186","-120.539495837","1"
-120.543240557957,44.4371074471356,,Real-time SBAS Corrected,2022/07/13,03:41:23pm,Point_generic,HRCN2.cor,"563","563","2218",340901.000,1552.903,1.1,0.6,0.658697,"44.437107447","-120.543240558","2"
-120.442668058193,44.4678267950492,,Real-time SBAS Corrected,2022/07/16,02:34:56pm,Point_generic,HRCN3.cor,"427","427","2218",596114.000,1381.060,0.8,0.7,1.640233,"44.467826795","-120.442668058","3"
-120.434591834815,44.4717140955458,,Postprocessed Code,2022/07/14,03:02:43pm,Point_generic,HRCS1.cor,"371","371","2218",424981.000,1373.731,0.6,0.5,0.415712,"44.471714096","-120.434591835","4"
-120.432851341206,44.4745192691083,,Postprocessed Code,2022/07/14,01:59:02pm,Point_generic,HRCS2.cor,"213","213","2218",421160.000,1379.590,0.7,0.7,0.653499,"44.474519269","-120.432851341","5"
-120.47423330202,44.4572568579052,,Real-time SBAS Corrected,2022/07/14,12:14:23pm,Point_generic,HRCS4.cor,"205","205","2218",414881.000,1408.107,1.4,1.3,5.200761,"44.457256858","-120.474233302","6"
-120.542396320874,44.4716975152376,,Postprocessed Code,2022/07/13,10:34:32am,Point_generic,HRN1.cor,"374","374","2218",322490.000,1332.944,0.1,0.1,0.049671,"44.471697515","-120.542396321","7"
-120.54238091719,44.470704421873,,Postprocessed Code,2022/07/13,09:19:22am,Point_generic,HRN2.cor,"669","669","2218",317980.000,1375.860,0.2,0.1,0.051971,"44.470704422","-120.542380917","8"
-120.537348828688,44.4711920148843,,L1  Postprocessed Carrier Float,2022/07/15,02:10:20pm,Point_generic,HRN3.cor,"646","646","2218",508238.000,1306.075,0.2,0.1,0.085703,"44.471192015","-120.537348829","9"
-120.437994739046,44.4833614029523,,Postprocessed Code,2022/07/17,10:12:55am,Point_generic,HRN5.cor,"1729","1729","2219",61993.000,1571.771,0.4,0.2,0.473052,"44.483361403","-120.437994739","10"
-120.457587332495,44.4693716679011,,Postprocessed Code,2022/07/16,12:44:53pm,Point_generic,HRN6.cor,"660","660","2218",589511.000,1471.834,0.2,0.1,0.046102,"44.469371668","-120.457587332","11"
-120.451330800756,44.4748998312387,,Postprocessed Code,2022/07/16,10:30:31am,Point_generic,HRN8.cor,"1625","1625","2218",581449.000,1511.950,0.3,0.1,0.220825,"44.474899831","-120.451330801","12"
-120.53732887418,44.4404487168108,,Postprocessed Code,2022/07/12,04:05:32pm,Point_generic,HRN9.cor,"783","783","2218",255950.000,1584.620,0.3,0.2,0.022874,"44.440448717","-120.537328874","13"
-120.438143040872,44.4845563035003,,L1  Postprocessed Carrier Float,2022/07/17,08:02:28am,Point_generic,HRN10.cor,"1432","1432","2219",54166.000,1542.034,0.2,0.1,0.168960,"44.484556304","-120.438143041","14"
-120.447936913992,44.4735588376182,,L1  Postprocessed Carrier Float,2022/07/16,09:12:30am,Point_generic,HRN11.cor,"501","501","2218",576768.000,1482.909,0.3,0.2,0.049205,"44.473558838","-120.447936914","15"
-120.542473786435,44.473888280449,,L1  Postprocessed Carrier Float,2022/07/15,01:12:21pm,Point_generic,HRS1.cor,"645","645","2218",504759.000,1350.141,0.2,0.1,0.073606,"44.473888280","-120.542473786","16"
-120.540499535426,44.4754860925812,,Postprocessed Code,2022/07/15,12:19:44pm,Point_generic,HRS2.cor,"279","279","2218",501602.000,1385.262,0.5,0.4,0.214494,"44.475486093","-120.540499535","17"
-120.538928776364,44.4768608350199,,Postprocessed Code,2022/07/15,11:00:36am,Point_generic,HRS3.cor,"380","380","2218",496854.000,1415.869,0.5,0.3,0.162027,"44.476860835","-120.538928776","18"
-120.541076783476,44.4777159686008,,Postprocessed Code,2022/07/15,09:48:37am,Point_generic,HRS4.cor,"519","519","2218",492535.000,1415.669,0.2,0.1,0.049494,"44.477715969","-120.541076783","19"
-120.454377379578,44.4736537829715,,Postprocessed Code,2022/07/16,08:22:36am,Point_generic,HRS6.cor,"415","415","2218",573774.000,1529.337,0.4,0.4,0.056924,"44.473653783","-120.454377380","20"
-120.456515885753,44.4734943839458,,Postprocessed Code,2022/07/16,07:34:02am,Point_generic,HRS7.cor,"196","196","2218",570860.000,1519.083,1.0,0.5,0.269343,"44.473494384","-120.456515886","21"
-120.457295013609,44.467842973353,,Postprocessed Code,2022/07/16,01:29:34pm,Point_generic,HRS8.cor,"481","481","2218",592192.000,1432.707,0.5,0.4,0.145360,"44.467842973","-120.457295014","22"
-120.468400295588,44.4599867445716,,Postprocessed Code,2022/07/14,08:08:50am,Point_generic,HRS10.cor,"186","186","2218",400148.000,1473.808,1.2,0.5,0.313785,"44.459986745","-120.468400296","23"
-120.469402570629,44.4588067456196,,Postprocessed Code,2022/07/14,09:21:45am,Point_generic,HRS11.cor,"194","194","2218",404523.000,1416.728,0.6,0.6,0.745859,"44.458806746","-120.469402571","24"
-120.471435051678,44.458101458155,,Postprocessed Code,2022/07/14,10:30:30am,Point_generic,HRS12.cor,"622","622","2218",408648.000,1395.498,0.9,0.5,0.307521,"44.458101458","-120.471435052","25"
