Plot,Subplot,Spec,St,Ht,Browse,Plot Size,Seed Tree,Comments,,,,
M24,,ABGR,L,25,,60,,,,,,
M24,,ABGR,L,17,,60,,,,,,
M24,,ABGR,L,18,,60,,,,,,
M24,,ABGR,L,15,,60,,,,,,
M24,,ABGR,L,17,,60,,,,,,
M24,,ABGR,L,31,,60,,,,,,
M24,,ABGR,L,18,,60,,,,,,
M24,,ABGR,L,16,,60,,,,,,
M24,,ABGR,L,16,,60,,,,,,
M24,,ABGR,L,18,,60,,,,,,
M24,,ABGR,L,33,,60,,,,,,
M24,,ABGR,L,23,,60,,,,,,
M24,,ABGR,L,26,,60,,,,,,
M24,,ABGR,L,21,,60,,,,,,
M24,,ABGR,L,11,,60,,,,,,
M24,,ABGR,L,22,,60,,,,,,
M24,,ABGR,L,12,,60,,,,,,
M24,,ABGR,L,18,,60,,,,,,
M24,,ABGR,L,20,,60,,,,,,
M24,,ABGR,L,22,,60,,,,,,
M24,,ABGR,L,15,,60,,,,,,
M24,,ABGR,L,22,,60,,,,,,
M24,,ABGR,L,15,,60,,,,,,
M24,,ABGR,L,10,,60,,,,,,
M24,,ABGR,L,17,,60,,,,,,
M24,,ABGR,L,20,,60,,,,,,
M24,,ABGR,L,24,,60,,,,,,
M24,,ABGR,L,20,,60,,,,,,
M24,,ABGR,L,16,,60,,,,,,
M24,,ABGR,L,21,,60,,,,,,
M24,,ABGR,L,15,,60,,,,,,
M26,,ABGR,L,23,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,36,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,22,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,22,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,16,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,16,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,21,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,25,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,22,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,21,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,43,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,28,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,35,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,26,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,21,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,14,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,27,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,33,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,20,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,21,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,47,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,28,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,33,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,29,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,20,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,15,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,ABGR,L,23,,60,PIPO 49; PSME 59; ABGR 80,,,,,
