Plot,TreeNum,DBH,Status,Species,Bearing,Distance,Diam,Diam ht,Comments,
H12,3,15,D,ABGR,69,6.8,,,fallen,
H12,5,22,D,ABGR,200,9.9,,,fallen,
H12,17,17,D,ABGR,345,3.6,,,fallen,
H18,8,10,D,ABGR,292,7.4,,,fallen,
H18,9,13,D,ABGR,312,9.2,,,fallen,
H18,10,20,D,ABGR,336,8.4,,,fallen,
H18,12,32,D,ABGR,348,7.5,,,fallen,
H18,13,24,D,ABGR,352,4.7,,,fallen,
H2,13,,D,ABGR,166,10,55,47,,
M26,1,36,D,ABGR,328,1.4,,,,
M26,2,22,D,ABGR,353,7.9,,,,
M26,4,23,D,ABGR,90,7.4,,,,
M26,5,34,D,ABGR,126,6.5,,,,
M26,6,26,D,ABGR,168,3.1,,,,
M26,7,19,D,ABGR,182,2.4,,,,
M26,8,11,D,ABGR,204,6.7,,,,
M26,10,38,D,ABGR,330,11.2,,,,
M26,12,24,D,ABGR,284,1.7,,,,
M27,1,71,D,ABGR,250,9.2,,,candlestick,
M27,5,,D,ABGR,28,3.2,59,25,broken,
M27,7,,D,ABGR,346,5.6,51,60,broken,
M27,17,17,D,ABGR,125,4.8,,,fallen,
M27,19,45,D,ABGR,254,3.8,,,candlestick,
M28,7,11,D,ABGR,16,10,,,,
M28,15,,D,ABGR,214,8.3,37,25,,
M28,23,56,D,ABGR,10,10.9,,,,
M28,25,,D,ABGR,348,7.5,15,35,,
HRN1,3,44,D,ABGR,252,6.6,,,smashed,Q3
HRN2,5,10,D,ABGR,14,10.1,,,fallen,Q1
HRN2,6,13,D,ABGR,62,7.1,,,fallen,Q1
HRN2,8,18,D,ABGR,148,10.6,,,fallen,Q2
HRN11,1,17,D,ABGR,52,4.2,,,fallen,Q1
HRN11,3,14,D,ABGR,80,10.3,,,fallen,Q1
HRN11,5,17,D,ABGR,180,6,,,fallen,Q2
HRN11,6,16,D,ABGR,196,10,,,fallen,Q2
HRN11,7,23,D,ABGR,318,9.5,,,fallen,Q4
HRN11,8,19,D,ABGR,330,4.4,,,fallen,Q4
