X,Y,Comment,Corr_Type,GPS_Date,GPS_Time,Feat_Name,Datafile,Unfilt_Pos,Filt_Pos,GPS_Week,GPS_Second,GNSS_Heigh,Vert_Prec,Horz_Prec,Std_Dev,Latitude,Longitude,Point_ID
-118.830700875339,44.0460380725831,,Postprocessed Code,2023/06/05,11:24:23am,Point_generic,CA-1-1.cor,"300","300","2265",152681.000,1695.891,0.5,0.4,0.150040,"44.046038073","-118.830700875","1"
-118.827308033043,44.0456899780497,,Postprocessed Code,2023/06/05,10:38:37am,Point_generic,CA-1-2.cor,"262","262","2265",149935.000,1749.358,0.4,0.4,0.265360,"44.045689978","-118.827308033","2"
-118.830563235468,44.0395593470556,,Postprocessed Code,2023/06/05,02:38:38pm,Point_generic,CA-2-2.cor,"459","459","2265",164336.000,1688.546,0.5,0.4,0.134964,"44.039559347","-118.830563235","3"
-118.797845318576,43.9991301734485,,Postprocessed Code,2023/06/05,08:35:34am,Point_generic,CA-2-3.cor,"305","305","2265",142552.000,1630.416,0.8,0.3,0.892095,"43.999130173","-118.797845319","4"
-118.824737390621,44.0384545613834,,Postprocessed Code,2023/06/05,01:18:11pm,Point_generic,CA-3-2.cor,"397","397","2265",159509.000,1727.947,0.4,0.4,0.088055,"44.038454561","-118.824737391","5"
-118.824731436727,44.0384520971408,,Postprocessed Code,2023/06/05,01:24:52pm,Point_generic,CA-3-2.cor,"3","3","2265",159910.000,1728.957,0.6,0.6,0.445251,"44.038452097","-118.824731437","6"
-118.806875456383,43.9935360968753,,Postprocessed Code,2023/06/05,06:44:37am,Point_generic,CA-4-1.cor,"232","232","2265",135895.000,1551.599,0.1,0.1,0.057964,"43.993536097","-118.806875456","7"
-118.838025013672,44.0427965894849,,Postprocessed Code,2023/06/06,06:49:56am,Point_generic,CA-B3-3.cor,"248","248","2265",222614.000,1705.137,0.1,0.1,0.098176,"44.042796589","-118.838025014","8"
-118.836537259675,44.0405425826924,"8",Real-time SBAS Corrected,2023/06/06,08:07:08am,Point_generic,CA-B5-3.cor,"288","288","2265",227246.000,1717.100,0.8,0.4,3.911602,"44.040542583","-118.836537260","10"
-118.512452886492,44.4917656454838,,Real-time SBAS Corrected,2023/06/23,11:09:06am,Point_generic,EA-1-1.cor,"275","275","2267",497364.000,1872.512,0.6,0.5,0.307363,"44.491765645","-118.512452886","11"
-118.498991037134,44.4780157332521,,Real-time SBAS Corrected,2023/06/22,04:59:27pm,Point_generic,EA-1-2.cor,"332","332","2267",431985.000,1944.150,0.1,0.1,0.823859,"44.478015733","-118.498991037","12"
-118.517857253363,44.4748442367361,,Real-time SBAS Corrected,2023/06/22,03:05:32pm,Point_generic,EA-2-3.cor,"236","236","2267",425150.000,1723.876,0.2,0.3,0.164038,"44.474844237","-118.517857253","13"
-118.514233481634,44.4829451532106,,Real-time SBAS Corrected,2023/06/23,08:12:38am,Point_generic,EA-3-2.cor,"296","296","2267",486776.000,1930.123,0.2,0.1,0.173892,"44.482945153","-118.514233482","14"
-118.514554513144,44.4995571700254,,L1  Postprocessed Carrier Float,2023/06/24,08:45:52am,Point_generic,EA-3-3.cor,"210","210","2267",575170.000,1816.034,0.1,0.1,0.026359,"44.499557170","-118.514554513","15"
-118.49441944099,44.4906469427728,,L1  Postprocessed Carrier Float,2023/06/22,08:41:23am,Point_generic,EA-4-3.cor,"383","383","2267",402101.000,1801.538,0.1,0.1,0.120459,"44.490646943","-118.494419441","16"
-118.502220831579,44.5011160826017,,Postprocessed Code,2023/06/22,12:03:29pm,Point_generic,EA-5-1.cor,"477","477","2267",414227.000,1886.483,0.5,0.4,0.698041,"44.501116083","-118.502220832","17"
-118.502206246235,44.4920831756224,,Real-time SBAS Corrected,2023/06/22,10:25:26am,Point_generic,EA-5-2.cor,"355","355","2267",408344.000,1889.787,1.0,0.8,0.387946,"44.492083176","-118.502206246","18"
-118.479230508662,44.5029565126328,,Postprocessed Code,2023/06/24,12:07:20pm,Point_generic,EA-5-3.cor,"200","200","2267",587258.000,1580.511,0.9,0.5,0.342883,"44.502956513","-118.479230509","19"
