"","Plot","Fire","fire_year","field_samp_year","MTBS_sev","grass_cover","herb_cover","shrub_cover","seedling_cover","green_cover_total","npv_cover_total","seedling_density","densiometer","elevation","aspect","aspect_sw_folded","slope","Lat","Long"
"1","BCCN1","Bridge Creek",2001,2022,2,27.5,33.75,10,0,55,41.25,0,33.59375,890.655,326.1974487,78.80255127,27.96777153,45.031983338,-118.973397444
"2","BCCN2","Bridge Creek",2001,2022,1,28.75,27.5,52.5,1.25,61.25,35,50,39.0625,862.027,19.22348022,25.77651978,23.20156288,45.033077302,-118.976782112
"3","BCCS1","Bridge Creek",2001,2022,1,23.75,11.25,50,0,60,28.75,0,27.60416667,902.726,181.3587341,136.3587341,21.50776291,45.059625053,-118.96873486
"4","BCCS2","Bridge Creek",2001,2022,1,43.75,16.25,0,0,43.75,35,0,3.255208333,1080.273,99.49417877,54.49417877,26.39192772,45.064831353,-118.964852031
"5","BCCS4","Bridge Creek",2001,2022,2,3.75,17.5,33.75,0,46.25,13.75,0,26.82291667,1060.434,255.8203888,149.1796112,32.58691788,45.054279154,-118.960813222
"6","BCCS5","Bridge Creek",2001,2022,2,55,6.25,2.5,0,40,28.75,0,17.578125,868.258,236.3800812,168.6199188,17.83198929,45.009517979,-118.991713051
"7","BCN10","Bridge Creek",2001,2022,4,21.25,15,41.25,0,50,42.5,50,0.390625,1007.896,359.3475037,45.65249634,31.16896057,45.054521163,-118.963112553
"8","BCN11","Bridge Creek",2001,2022,4,46.25,23.75,25,0,65,33.75,0,3.90625,932.339,315.5254822,89.47451782,30.18853188,45.022371279,-118.981536421
"9","BCN12","Bridge Creek",2001,2022,2,38.75,16.25,21.25,0,46.25,37.5,0,8.072916667,937.98,342.4671021,62.53289795,20.05976105,45.012178982,-118.989934817
"10","BCN2","Bridge Creek",2001,2022,3,26.25,17.5,23.75,0,43.75,45,250,0.911458333,925.412,298.2228088,106.7771912,26.31106186,45.029315093,-118.972919257
"11","BCN3","Bridge Creek",2001,2022,3,25,32.5,32.5,0,61.25,25,0,0.651041667,1018.358,335.8336487,69.16635132,45.43578339,45.031033117,-118.970036569
"12","BCN4","Bridge Creek",2001,2022,4,36.25,17.5,11.25,3.75,50,40,1200,2.34375,1103.085,331.1542358,73.84576416,10.76336193,45.046283248,-118.97464866
"13","BCN6","Bridge Creek",2001,2022,4,21.25,15,40,1.25,51.25,32.5,500,1.5625,892.811,328.8625488,76.13745117,25.30930328,45.049574189,-118.975480973
