Plot,Direction,N,E,S,W,notes,With Shrubs,Direction,N,E,S,W,,
EG-9-3,N,0,0,0,0,,,,,,,,,
EG-9-3,E,0,0,0,0,,,,,,,,,
EG-9-3,S,0,0,0,0,,,,,,,,,
EG-9-3,W,0,0,0,0,,,,,,,,,
EG-4-2,N,0,0.5,1,0,,,,,,,,,
EG-4-2,E,2,2,1,1,,,,,,,,,
EG-4-2,S,0,2,1,0,,,,,,,,,
EG-4-2,W,0,0,0,0,,,,,,,,,
EG-6-3,N,0,0,0,0,,,,,,,,,
EG-6-3,E,0,0,0,0,,,,,,,,,
EG-6-3,S,0,0,0,0,,,,,,,,,
EG-6-3,W,0,0,0,0,,,,,,,,,
EG-11-1,N,0,0,0,0,,,,,,,,,
EG-11-1,E,0,0,0,0,,,,,,,,,
EG-11-1,S,0,0,0,0,,,,,,,,,
EG-11-1,W,0,0,0,0,,,,,,,,,
EG-3-2,N,0,0,0,0,,,,,,,,,
EG-3-2,E,0,0,0,0,,,,,,,,,
EG-3-2,S,0,0,0,0,,,,,,,,,
EG-3-2,W,0,0,0,0,,,,,,,,,
EG-B3-2,N,0,0,0,0,,,,,,,,,
EG-B3-2,E,0,0,0,0,,,,,,,,,
EG-B3-2,S,3,0,1,3.5,dead tree (no canopy),,,,,,,,
EG-B3-2,W,0.5,0,3,4,dead tree (no canopy),,,,,,,,
EG-10-2,N,0,0,0,0,,,,,,,,,
EG-10-2,E,0,0,0,0,,,,,,,,,
EG-10-2,S,0,0,0,0,,,,,,,,,
EG-10-2,W,0,0,0,0,,,,,,,,,
EG-8-2,N,0,0,0,0,,,,,,,,,
EG-8-2,E,0,0,2.5,0,Seedling,,,,,,,,
EG-8-2,S,0,0,0,0,,,,,,,,,
EG-8-2,W,0,0,0,0,,,,,,,,,
EG-12-2,N,0,0.5,1,0,dead tree (no canopy),,,,,,,,
EG-12-2,E,0,0.5,3.5,0,dead tree (no canopy),,,,,,,,
EG-12-2,S,0,2,5,0,dead tree (no canopy),,,,,,,,
EG-12-2,W,0,0.5,0.5,0,dead tree (no canopy),,,,,,,,
EG-B7-2,N,0,0,0,0,,,,,,,,,
EG-B7-2,E,0,0,2,0,dead tree (no canopy),,,,,,,,
EG-B7-2,S,0,4.5,0,0,young tree,,,,,,,,
EG-B7-2,W,0,0,0,0,,,,,,,,,
EG-3-3,N,0,0,0,0,,yes,N,0,1,0,0.5,,
EG-3-3,E,0,0,0,0,,,E,0,0,0,0,,
EG-3-3,S,0,0,0,0,,,S,0,0,0,0,,
EG-3-3,W,0,0,0,0,,,W,0,0,0,0,,
EG-B9-1,N,0,0,0,0,,,,,,,,,
EG-B9-1,E,0,0,0,0,,,,,,,,,
EG-B9-1,S,0,0,0,0,,,,,,,,,
EG-B9-1,W,0,0,0,0,,,,,,,,,
EG-4-3,N,3,2.5,2,4,dead tree (no canopy),yes,N,3,2.5,2,4,,
EG-4-3,E,2.5,0,1,5,dead tree (no canopy),,E,2.5,0,1,6,,
EG-4-3,S,2.5,0,3,3.5,dead tree (no canopy),,S,2.5,0,3,3.5,,
EG-4-3,W,6.5,3,2,1,dead tree (no canopy),,W,6.5,3,2,1,,
EG-7-1,N,0,0,0,0.5,dead tree (no canopy),,,,,,,,
EG-7-1,E,0,0,0,0.5,dead tree (no canopy),,,,,,,,
EG-7-1,S,0,0.25,0,0,dead tree (no canopy),,,,,,,,
EG-7-1,W,0,0,0,0.5,dead tree (no canopy),,,,,,,,
EG-9-2,N,0,0,0,0,,,,,,,,,
EG-9-2,E,0,0,0,0,,,,,,,,,
EG-9-2,S,0.5,1.5,0,0,dead tree (no canopy),,,,,,,,
EG-9-2,W,0,0,0,0,,,,,,,,,
EG-8-1,N,0,0,0,0,,,,,,,,,
EG-8-1,E,0,0,0,0,,,,,,,,,
EG-8-1,S,0,0,0,0,,,,,,,,,
EG-8-1,W,0,0,0,0,,,,,,,,,
EG-2-3,N,3.5,5.5,6,1.5,dead tree (no canopy),,,,,,,,
EG-2-3,E,0,0,0,0,,,,,,,,,
EG-2-3,S,0,0,0,0,,,,,,,,,
EG-2-3,W,0,0,0,0,,,,,,,,,
EG-5-1,N,0,0.5,0.5,2,dead tree (no canopy),,,,,,,,
EG-5-1,E,0,0,0,0.5,dead tree (no canopy),,,,,,,,
EG-5-1,S,0,0.25,0,1.5,dead tree (no canopy),,,,,,,,
EG-5-1,W,0,0,2,4,dead tree (no canopy),,,,,,,,
EG-7-3,N,0,0,0,0,,,,,,,,,
EG-7-3,E,0,2,2.5,2,dead fallen tree in middle of subplot,,,,,,,,
EG-7-3,S,0,0,0,0,,,,,,,,,
EG-7-3,W,0,0,0,0,,,,,,,,,
EG-8-3,N,0,0,0.5,0,dead tree (no canopy),yes,N,0,0,1,0,,
EG-8-3,E,0,0,1,0,dead tree (no canopy),yes,E,0,0,1,0,,
EG-8-3,S,0,0,1,0,dead tree (no canopy),yes,S,0,0,1,0,,
EG-8-3,W,0,0,0.25,0,dead tree (no canopy),yes,W,0,0,0.25,0,,
EG-B1-1,N,0,0,0,0,,,,,,,,,
EG-B1-1,E,0,0,0.5,0,dead tree (no canopy),,,,,,,,
EG-B1-1,S,0,0,0.5,0,dead tree (no canopy),,,,,,,,
EG-B1-1,W,0,0,0,0,,,,,,,,,
CA-4-1,N,0,0.5,1.5,2.5,dead tree (no canopy),,N,0,0.5,1.5,2.5,,
CA-4-1,E,0,0,0,2,dead tree (no canopy),,E,0,0,4,3,,
CA-4-1,S,0,0,0,0,,,S,0,0,0,0,,
CA-4-1,W,1,2,0,0,dead tree (no canopy),,W,1,2,0,0,,
CA-2-3,N,0,0,0,0,,,,,,,,,
CA-2-3,E,0,0,0,0,,,,,,,,,
CA-2-3,S,0,0,0,0,,,,,,,,,
CA-2-3,W,1.5,9,3,0,dead trees in middle of plot (no canopy),,,,,,,,
CA-1-2,N,0.5,0.5,0,0,dead tree (no canopy),,,,,,,,
CA-1-2,E,2,0.5,0.5,0,"S = live tree; otherwise, dead tree (no canopy)",,,,,,,,
CA-1-2,S,0.5,0,1.5,0.25,"S = live tree; otherwise, dead tree (no canopy)",,,,,,,,
CA-1-2,W,0,0.25,2.5,0,"S = live tree; otherwise, dead tree (no canopy)",,,,,,,,
CA-1-1,N,0.5,0.25,0,0,dead tree (no canopy),,,,,,,,
CA-1-1,E,0,0,0,0,,,,,,,,,
CA-1-1,S,0,0,0,0,,,,,,,,,
CA-1-1,W,0,0,0,0,,,,,,,,,
CA-3-2,N,5,1,0.5,1,E and S = dead tree (no canopy),,,,,,,,
CA-3-2,E,3,0.5,0.25,4.5,S = dead tree (no canopy),,,,,,,,
CA-3-2,S,2,1,0.5,1,dead trees (no canopy),,,,,,,,
CA-3-2,W,2,1,7,4.5,"for S = 1 = dead tree, 6 = seedling; for W = 4 dead tree, 0.5 seedling; N and E dead tree (no canopy)",,,,,,,,
CA-2-2,N,2.5,18,6.5,0,all for seedling in middle of plot,,,,,,,,
CA-2-2,E,0.5,0.25,0.5,0,dead tree (no canopy),,,,,,,,
CA-2-2,S,0,0,1,0.75,dead tree (no canopy),,,,,,,,
CA-2-2,W,0,0,1,0,dead tree (no canopy),,,,,,,,
CA-B3-3,N,0,0,0,0,,,,,,,,,
CA-B3-3,E,0,0,0,0,,,,,,,,,
CA-B3-3,S,0,0,0,0,,,,,,,,,
CA-B3-3,W,0,0,0,1,dead tree,,,,,,,,
CA-B5-3,N,1.5,0,1,2.5,dead trees,,,,,,,,
CA-B5-3,E,0,0,0,1.5,dead trees,,,,,,,,
CA-B5-3,S,0,0,0,0,,,,,,,,,
CA-B5-3,W,3,0.5,1,0.5,dead trees,,,,,,,,
CA-4-2,N,0,0,0,0,,,,,,,,,
CA-4-2,E,0.5,0,1,4,dead trees,,,,,,,,
CA-4-2,S,6.5,0,1.5,0.5,"highlighted cell = pipo sapling, dead trees",,,,,,,,
CA-4-2,W,1,0,2,1,"highlighted cell = pipo tree, dead trees",,,,,,,,
EG-6-2,N,0,0,0,0,,,,,,,,,
EG-6-2,E,0,0,0,0,,,,,,,,,
EG-6-2,S,0,0,0,0,,,,,,,,,
EG-6-2,W,0,0,0,0,,,,,,,,,
EG-B8-1,N,0,0,0,0,,,N,0,0,0,0,,
EG-B8-1,E,0,0,0,0,,,E,0,0,0,0,,
EG-B8-1,S,0.25,2.5,0,0,dead trees,,S,0.25,2.5,0,0,,
EG-B8-1,W,0,0,0,0,,,W,0,0,0,2,,
EG-12-1,N,0.5,0.25,0,0,dead trees,,N,0.5,0.25,2,0,,highlighted cell = only difference from readings w/o shrubs
EG-12-1,E,0,0,0,0,,,E,0,0,0,0,,
EG-12-1,S,0,0.25,0,0,dead trees,,S,0,0.25,0,0,,
EG-12-1,W,0,0,0,0,,,W,0,0,0,0,,
EG-11-2,N,0,0,0.25,0,dead trees,,,,,,,,
EG-11-2,E,0,0,0,0,,,,,,,,,
EG-11-2,S,0,1.25,0,0,dead trees,,,,,,,,
EG-11-2,W,1,0,2,6.5,dead trees,,,,,,,,
EG-4-1,N,0,0.25,0,0,dead trees,,,,,,,,
EG-4-1,E,0,1,0.5,0,dead trees,,,,,,,,
EG-4-1,S,0,0.25,0,0,dead trees,,,,,,,,
EG-4-1,W,0,0,0,0,,,,,,,,,
EG-1-1,N,4,2,3,1.5,all dead trees,,,,,,,,
EG-1-1,E,3,0.25,0.75,3,all dead trees,,,,,,,,
EG-1-1,S,4,1.25,1,1,all dead trees,,,,,,,,
EG-1-1,W,3,2.5,1.5,1,all dead trees,,,,,,,,
EG-1-X,N,0,0.25,1,0,dead trees,,,,,,,,
EG-1-X,E,0,1,2,0,dead trees,,,,,,,,
EG-1-X,S,0,2,1,0,dead trees,,,,,,,,
EG-1-X,W,0,0.5,0,0,dead trees,,,,,,,,
EG-2-X,N,0,0,0.75,1,dead trees,,,,,,,,
EG-2-X,E,0,0,0,0.25,dead trees,,,,,,,,
EG-2-X,S,1,1.5,1,0,dead trees,,,,,,,,
EG-2-X,W,2,0,0.25,0,dead trees,,,,,,,,
EG-5-2,N,0,0,0.5,0,dead trees,,,,,,,,
EG-5-2,E,0,0.25,1,0.5,dead trees,,,,,,,,
EG-5-2,S,0,0,0.5,0.5,dead trees,,,,,,,,
