"","x_y","relative_year","Long","Lat","Plot","fire","canopy_cover","veg_height","hli","cwd_present","cwd_future","elevation","TE_future","TE_present","predisturbance_ndvi","postdisturbance_ndvi","disturbance_ndvi","delta_ndvi","dndvi","ndvi","ndvi_fitted","postfire_fitted_rsq","postfire_fitted_slope","yearly_delta_ndvi","auc_delta_ndvi","scaled_recovery_metric","RdNDVI","ppt","tmin","tmax","vpdmin","vpdmax","tmean"
"1","-117.5078939_46.28385453",0,-117.5078939,46.28385453,"M29","School",55,111,146,322,455,1318,"N","N",690.9,587.2,493,-103.7,292,717,723.1149399942,NA,NA,26.1,-1491.2,1.13188479029813,-31.4002359140517,860.118616983573,3.26816386843368,11.4346556245468,2.67470819440605,9.50735191358217,7.35140974649025
"2","-117.5078939_46.28385453",1,-117.5078939,46.28385453,"M29","School",55,111,146,322,455,1318,"N","N",690.9,587.2,493,-103.7,292,687,701.049200418724,NA,NA,-3.89999999999998,-1491.2,0.980293077311774,4.69198927451344,675.707859242075,3.89566397201029,11.7083214336842,2.42530548247657,8.99517960107509,7.80199270284723
"3","-117.5078939_46.28385453",10,-117.5078939,46.28385453,"M29","School",55,111,146,322,455,1318,"N","N",690.9,587.2,493,-103.7,292,442,599.859160690187,NA,NA,-248.9,-1491.2,-0.257705912076806,299.445161647795,735.685101788712,4.30542545658275,12.6345262750289,3.94368464923287,11.773062137479,8.46997586580582
"4","-117.5078939_46.28385453",11,-117.5078939,46.28385453,"M29","School",55,111,146,322,455,1318,"N","N",690.9,587.2,493,-103.7,292,544,568.833156718525,0.486000679180768,5.92307692307692,-146.9,-1491.2,0.257705912076806,176.731596006674,551.526202520997,3.77657430006358,12.5249481439373,3.55745586470055,11.4941106750586,8.15076122200042
"5","-117.5078939_46.28385453",12,-117.5078939,46.28385453,"M29","School",55,111,146,322,455,1318,"N","N",690.9,587.2,493,-103.7,292,619,559.639401216584,0.486000679180768,5.92307692307692,-71.9,-1491.2,0.636685194542698,86.501033035261,643.345900540635,3.14720830707047,11.9070948475262,2.88700301094452,10.7241503173804,7.52715157729831
"6","-117.5078939_46.28385453",13,-117.5078939,46.28385453,"M29","School",55,111,146,322,455,1318,"N","N",690.9,587.2,493,-103.7,292,568,560.345918078481,0.486000679180768,5.92307692307692,-122.9,-1491.2,0.378979282465892,147.857815855822,737.180375424052,3.43963166591397,12.0035269041101,3.29033679951728,11.0015108703888,7.72157928501203
"7","-117.5078939_46.28385453",14,-117.5078939,46.28385453,"M29","School",55,111,146,322,455,1318,"N","N",690.9,587.2,493,-103.7,292,572,580.842956356641,0.486000679180768,5.92307692307692,-118.9,-1491.2,0.399191510864073,143.045519164013,617.248332305351,3.87272467542869,11.8543416248844,2.52687034428019,9.66201864037392,7.86353315015656
"8","-117.5078939_46.28385453",15,-117.5078939,46.28385453,"M29","School",55,111,146,322,455,1318,"N","N",690.9,587.2,493,-103.7,292,570,584.330200626812,0.486000679180768,5.92307692307692,-120.9,-1491.2,0.389085396664982,145.451667509917,659.188198469232,3.15688169865719,11.3343583384991,2.84703255376944,9.97105043716016,7.24562001857812
"9","-117.5078939_46.28385453",16,-117.5078939,46.28385453,"M29","School",55,111,146,322,455,1318,"N","N",690.9,587.2,493,-103.7,292,580,586.298985092466,0.486000679180768,5.92307692307692,-110.9,-1491.2,0.439615967660435,133.420925780396,759.048329417579,4.07220977304142,12.635086017763,3.04394277802402,10.8967335233929,8.35364789540219
"10","-117.5078939_46.28385453",17,-117.5078939,46.28385453,"M29","School",55,111,146,322,455,1318,"N","N",690.9,587.2,493,-103.7,292,637,591.737512055142,0.486000679180768,5.92307692307692,-53.9,-1491.2,0.727640222334512,64.8456979221219,512.307263574937,4.27189943659582,12.2204269727392,3.23376321692369,10.6975256192102,8.24616320466749
