"","x_y","Long","Lat","Plot","fire","canopy_cover","veg_height","hli","cwd_present","cwd_future","elevation","TE_future","TE_present","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","predisturbance_ndvi","postdisturbance_ndvi","disturbance_ndvi","delta_ndvi","dndvi","absolute_regrowth","relative_regrowth","max.postfire.ndvi","pct_recovery","time_to_0.8recovery","time_to_0.6recovery","postfire_ppt","postfire_tmin","postfire_tmax","postfire_vpdmin","postfire_vpdmax","postfire_tmean"
"1","-117.5078939_46.28385453",-117.5078939,46.28385453,"M29","School",55,111,146,322,455,1318,"N","N",717,687,696,741,631,569,744,642,748,734,442,544,619,568,572,570,580,637,573,594,615,612,649,641,690.9,587.2,493,-103.7,292,-15.5289600633746,-0.416937717886807,649,0.939354465190332,2,1,641.697801852053,3.47860412942678,11.9248539717914,3.0217397146424,10.5705681880724,7.70172905060909
"2","-117.5135114_46.28296352",-117.5135114,46.28296352,"M28","School",55,111,107,322,455,1318,"N","N",680,709,769,742,715,791,762,696,742,770,258,397,496,555,594,557,643,688,666,682,729,760,733,759,737.6,600.7,327.5,-136.9,512,103.227555675972,1.27451769043769,760,1.03036876355748,4,2,641.697801852053,3.47860412942678,11.9248539717914,3.0217397146424,10.5705681880724,7.70172905060909
"3","-117.5137322_46.26809684",-117.5137322,46.26809684,"H15","School",65,111,149,294,417,1343,"N","N",702,735,691,653,693,596,755,722,691,718,310,397,521,475,551,564,433,566,511,488,550,510,566,545,695.6,505.6,353.5,-190,408,19.7010965437803,0.261069541167502,566,0.813686026451984,5,2,641.697801852053,3.47860412942678,11.9248539717914,3.0217397146424,10.5705681880724,7.70172905060909
"4","-117.5343066_46.29348527",-117.5343066,46.29348527,"H1","School",55,111,176,317,444,1269,"N","N",646,701,689,715,676,626,710,676,696,678,419,394,257,341,331,287,291,373,351,325,374,421,394,395,681.3,332.4,406.5,-348.9,259,-184.307241578678,-2.07507845305554,421,0.617936298253339,NA,11,749.386384950805,3.45736659071865,11.7993239684283,3.01442378997224,10.4726554687499,7.62834527957346
"5","-117.5405843_46.27721889",-117.5405843,46.27721889,"H2","School",55,111,126,278,394,1429,"N","N",710,773,771,778,767,724,794,777,825,774,248,315,451,522,449,442,351,498,529,547,549,589,653,677,769.3,465.3,281.5,-304,526,-50.9283825483991,-0.477743746001215,677,0.880020798128168,12,3,749.386384950805,3.45736659071865,11.7993239684283,3.01442378997224,10.4726554687499,7.62834527957346
"6","-117.5618789_46.25715141",-117.5618789,46.25715141,"M4","School",55,110,229,272,393,1499,"N","N",710,695,802,733,764,739,754,729,799,781,362,528,639,713,711,731,668,762,722,749,712,740,740,719,750.6,693.5,445,-57.1,419,127.656831880901,2.50818651486969,762,1.01518784972022,2,1,975.165864190642,2.21037339972291,10.845363141871,2.71643434811256,9.90550656791395,6.52786827079696
"7","-117.5654794_46.25563003",-117.5654794,46.25563003,"M24","School",65,111,205,265,380,1519,"N","N",656,662,713,686,692,685,679,710,682,695,305,484,451,536,594,607,620,748,758,758,753,762,811,777,686,630.9,394.5,-55.1,390,114.139681958834,1.7652710060922,811,1.18221574344023,4,1,975.165864190642,2.21037339972291,10.845363141871,2.71643434811256,9.90550656791395,6.52786827079696
"8","-117.5839002_46.29206069",-117.5839002,46.29206069,"H12","School",55,110,87,307,427,1410,"N","N",747,789,676,642,673,611,704,720,723,746,462,507,463,502,461,475,453,486,478,522,526,558,556,545,703.1,487.3,484.5,-215.8,284,-113.270100245523,-1.88184321932351,558,0.793628217892192,NA,1,885.482776937265,2.90299271077027,11.5860618200007,2.89221758576463,10.4930155299438,7.24452726538548
"9","-117.5946108_46.28661109",-117.5946108,46.28661109,"H10","School",75,111,138,287,407,1381,"N","N",826,822,815,837,815,808,843,809,838,834,413,570,571,555,452,529,436,586,568,546,561,604,626,618,824.7,537.4,491.5,-287.3,421,-125.949610677772,-1.73856775094396,626,0.759063902024979,NA,1,885.482776937265,2.90299271077027,11.5860618200007,2.89221758576463,10.4930155299438,7.24452726538548
"10","-117.6024083_46.2467702",-117.6024083,46.2467702,"M27","School",55,111,107,319,441,1465,"N","N",755,767,747,837,776,755,755,679,776,756,279,541,641,675,678,654,598,722,715,726,734,766,773,797,760.3,668.4,410,-91.9,477,104.352005690734,2.32204236197074,797,1.04827041957122,2,1,997.940814568214,2.51040982241677,11.676513686971,2.61485291875298,10.5523832754278,7.09346175469386
