grass.pct,shrub.pct,log.regen.density,seedling.pct,field.cluster,Plot,X,Long,Lat,postdisturbance_nbr,delta_nbr,relative_regrowth,pct_recovery,postfire_fitted_rsq,postfire_fitted_slope,cluster,x_y.x,fire,canopy_cover,veg_height,hli,cwd_present,cwd_future,elevation,TE_future,TE_present,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,predisturbance_nbr,disturbance_nbr,dnbr,absolute_regrowth,max.postfire.nbr,time_to_0.8recovery,time_to_0.6recovery,postfire_ppt,postfire_tmin,postfire_tmax,postfire_vpdmin,postfire_vpdmax,postfire_tmean,precip,tmean,vpdmax,re.0gen_prob,x_y.y,herb.pct,green.pct,npv.pct,aspect,slope,seedling.density,densiometer,dom.tree.spp,dom.seedling.spp,young.tree.density,regen.density,year,log.seedling.density
0,10,10.276773762280058,45,2,HRN5,615,-120.437994739,44.483361403,98,-339.6,-1.5053872749007,1.02148080438757,0.801785853944953,34.0769230769231,1,-120.437994739_44.483361403,HR,35,110,149,450,575,1497,N,N,457,240,330,492,517,412,461,461,471,535,0,72,17,97,26,47,70,106,151,171,223,350,421,447,437.6,36,535,-159.502198396683,447,12,11,646.25371307543,0.683930226895157,11.71096852645,1.79191116812632,10.9301647134362,6.19744937667258,661.074571417795,6.49091094720307,11.0789491771585,0.576199471950531,-120.437994739_44.483361403,2.5,51.25,32.5,-0.342705602110707,14.01223755,29000,14.0625,LAOC-PIPO,LAOC,50,29050,2022,10.275051108968611
0,15,0,70,2,M24,30,-117.5654794,46.25563003,401.6,-185.8,0.831968566486407,1.19339462036091,0.926122737204602,51.5659340659341,1,-117.5654794_46.25563003,School,65,111,205,265,380,1519,N,N,543,578,613,612,607,586,568,571,611,585,6,179,120,204,297,393,418,554,599,616,636,657,701,683,587.4,92.5,579,97.9626893406886,701,7,5,975.165864190642,2.21037339972291,10.845363141871,2.71643434811256,9.90550656791395,6.52786827079696,971.796448579505,6.60691378879413,8.63216361213367,0.64339292049408,-117.5654794_46.25563003,3,68.75,26.25,-0.342705768565271,4.18580389,0,47.6563,PSME,PIPO,0,0,2022,0
0,31.25,8.864322722511439,38.75,2,EA-5-2,127,-118.502206246,44.492083176,19.5,-266.5,-0.608612103632,0.975524475524476,0.736939931636216,22.6538461538462,1,-118.502206246_44.492083176,Easy,45,110,150,388,513,1861,N,N,334,312,360,316,305,377,245,325,286,0,0,0,0,0,0,0,0,0,10,87,98,189,243,279,286,0,0,-43.2596276354857,279,12,11,792.118177596413,0.237749217068889,12.010753852021,1.98166507547218,11.779410685417,6.12425153454497,824.58109910488,5.42484305125851,10.1082870849703,0.595673561096191,-118.502206246_44.492083176,40.625,63.75,25.625,-0.342705549317274,8,7000,54.296875,?,PICO,75,7075,2023,8.85366542803745
0,55,3.2188758248682006,50,2,M27,57,-117.6024083,46.2467702,407.2,-262.1,0.708011772381781,1.02793963842821,0.960677334406412,35.7692307692308,1,-117.6024083_46.2467702,School,55,111,107,319,441,1465,N,N,653,733,666,709,659,701,612,671,660,629,0,186,327,329,383,399,392,478,506,517,555,622,619,688,669.3,93,629,78.4153374884787,688,10,7,997.940814568214,2.51040982241677,11.676513686971,2.61485291875298,10.5523832754278,7.09346175469386,995.516013957009,6.74104252905945,8.8654739375639,NA,-117.6024083_46.2467702,21.25,67.5,42.5,-0.342705554288358,17.96887779,0,1.5625,?,ABGR,25,25,2022,0
10,77.5,3.912023005428146,0,1,HRS4,655,-120.541076783,44.477715969,208.4,-183.2,0.510536702501726,1.08273748723187,0.704436082679737,31.478021978022,1,-120.541076783_44.477715969,HR,15,110,230,481,604,1481,N,N,396,285,376,400,471,396,404,442,372,374,0,0,20,58,218,280,106,243,343,392,424,347,360,299,391.6,0,374,53.0670769310134,424,8,5,642.977653128769,0.558571587884094,11.7764872731966,1.74748501817094,11.01861144823,6.16752943054033,559.523727949268,7.25063722698797,12.0180992457769,0.551454722881317,-120.541076783_44.477715969,5,52.5,35,-0.342705756944169,15.93197632,50,1.041666667,PIPO,PIPO,0,50,2022,3.912023005428146
11.25,27.5,5.991464547107982,20,2,H2,17,-117.5405843,46.27721889,157.4,-565,-1.03034703563817,0.60077519379845,0.704498416621248,27.5769230769231,2,-117.5405843_46.27721889,School,55,111,126,278,394,1429,N,N,698,716,696,752,768,640,711,758,749,736,0,0,172,199,118,188,45,140,223,250,239,334,414,434,722.4,0,736,-170.593193638113,434,NA,13,749.386384950805,3.45736659071865,11.7993239684283,3.01442378997224,10.4726554687499,7.62834527957346,818.430030723866,7.49378018071455,9.52174740237691,0.650364100933075,-117.5405843_46.27721889,25,27.5,30,-0.342705607113488,9.550437927,400,0,ABGR,PIPO,0,400,2022,5.991464547107982
11.25,31.25,0,0,1,EG-B9-1,330,-119.374286218,43.829604722,-83.9975279808044,-319.835456752777,0.345820656182068,0.387740208423664,0.859317612151848,30.4164300331703,2,-119.374286218_43.829604722,Egley,35,110,204,561,689,1505,Y,N,228.736022949219,232.727279663086,235.212249755859,223.087814331055,227.946365356445,213.759216308594,244.653854370117,233.087982177734,242.290756225586,276.877746582031,-428.458190917969,-351.206420898438,-202.465927124023,-105.022834777832,-109.001838684082,-112.107620239258,-45.1045112609863,-4.57358074188232,25.0876712799072,6.25651741027832,58.1632652282715,47.4205322265625,91.44384765625,90.1356048583984,235.837928771973,-389.832305908203,705.3359375,46.9946412726844,91.44384765625,NA,NA,427.909050115228,-2.27692636142479,13.4489841130982,0.899681859067756,13.6034158747822,5.58602887583671,441.270106296386,5.67819016904785,13.909137050896,0.365034013986588,-119.374286218_43.829604722,5,23.75,18.75,-0.34270555013792,4,0,0,PIPO,-,0,0,2023,0
11.25,32.5,7.047517221357296,5,1,EG-3-X,255,-119.294647911,43.855647194,-58.4666639328003,-378.162034416199,-1.06391705430519,0.105669551279815,0.55455163661312,11.449220096672,2,-119.294647911_43.855647194,Egley,45,110,179,575,705,1547,Y,N,313.776458740234,318.060333251953,314.013214111328,308.724822998047,312.987945556641,264.409210205078,326.276000976562,304.662078857422,367.965362548828,366.078277587891,26.5721874237061,-172.438934326172,-132.793243408203,-81.7819137573242,28.3277492523193,-30.2670631408691,-38.3720932006836,-52.390495300293,-66.4094772338867,-19.4297256469727,-19.111442565918,-10.1010103225708,8.88450145721436,33.7820663452148,319.695370483398,-72.9333734512329,339.506090164185,-123.486483404945,33.7820663452148,NA,NA,428.229721416503,-2.03778745468622,13.4720648866282,0.992961032941856,13.6255065843886,5.71713871597101,427.925722144944,5.75430611261229,14.0674077488271,0.358233988285065,-119.294647911_43.855647194,23.75,41.25,50,-0.342705566359399,2,1150,0,PIPO,PIPO,0,1150,2023,7.047517221357296
11.25,40,7.853604813097837,23.125,2,EA-B3-2,137,-118.514740603,44.485867621,0.8,-279.9,-1.28205651787582,0.366939793373709,0.572597613254548,7.72527472527473,2,-118.514740603_44.485867621,Easy,45,110,165,385,506,1871,N,N,169,285,302,239,346,322,305,301,304,234,0,0,0,0,0,0,0,0,1,0,7,79,90,103,280.7,0,234,-99.200444180813,103,NA,NA,792.118177596413,0.237749217068889,12.010753852021,1.98166507547218,11.779410685417,6.12425153454497,847.390075124656,5.06867638447461,10.057830337059,0.650610208511353,-118.514740603_44.485867621,35.625,63.75,25.625,-0.342705559606286,4,2250,37.109375,?,PICO,325,2575,2023,7.718685495198466
12.5,31.25,3.912023005428146,0,1,HRN2,659,-120.542380917,44.470704422,162.7,-141.4,-0.393460425924227,1.24958895100296,0.868498587221224,35.1428571428572,1,-120.542380917_44.470704422,HR,15,110,119,535,661,1430,Y,N,225,193,218,315,284,318,284,371,425,408,0,0,0,0,78,147,133,251,301,337,380,330,356,307,304.1,0,408,-37.8510804154463,380,7,7,488.562194384424,0.940657803057502,13.5563629013949,1.69306944167194,12.8535494603458,7.24851035222618,512.81272096222,7.47911689924324,12.7913467946889,0.645423054695129,-120.542380917_44.470704422,2.5,30,43.75,-0.342705574376556,19.98384094,50,0.911458333,PSME,PIPO,0,50,2022,3.912023005428146
