"","Plot","Fire","x_y","Long","Lat","grass.pct","herb.pct","shrub.pct","seedling.pct","green.pct","npv.pct","aspect","slope","seedling.density","densiometer","dom.tree.spp","dom.seedling.spp","young.tree.density","regen.density","year"
"1","BCN10","Bridge Creek","-118.963112553_45.054521163",-118.963112553,45.054521163,21.25,15,41.25,0,50,42.5,-0.342705585286455,31.16896057,50,0.390625,"PSME","PIPO",0,50,2022
"2","BCN11","Bridge Creek","-118.981536421_45.022371279",-118.981536421,45.022371279,46.25,23.75,25,0,65,33.75,-0.342705667540703,30.18853188,0,3.90625,"PSME","N/A",0,0,2022
"3","BCN4","Bridge Creek","-118.97464866_45.046283248",-118.97464866,45.046283248,36.25,17.5,11.25,3.75,50,40,-0.342705635517802,10.76336193,1200,2.34375,"PSME","PIPO",0,1200,2022
"4","BCN6","Bridge Creek","-118.975480973_45.049574189",-118.975480973,45.049574189,21.25,15,40,1.25,51.25,32.5,-0.342705640120222,25.30930328,500,1.5625,"PSME","PIPO",0,500,2022
"5","BCS6","Bridge Creek","-118.973792994_45.028601105",-118.973792994,45.028601105,36.25,7.5,40,0,51.25,40,-0.342705552056044,20.76551819,0,0.651041667,"PSME","N/A",0,0,2022
"6","H1","School","-117.5343066_46.29348527",-117.5343066,46.29348527,63.75,21.25,2.5,5,36.25,41.25,-0.342705551106788,3.482126713,0,0,"PIPO","PIPO",0,0,2022
"7","H10","School","-117.5946108_46.28661109",-117.5946108,46.28661109,7.5,13.25,43,2.75,36.25,47.25,-0.342705578022521,22.1185627,800,4.81771,"PSME","PIPO",25,825,2022
"8","H12","School","-117.5839002_46.29206069",-117.5839002,46.29206069,48.75,26.25,28.75,6.25,45,38.75,-0.342705551795328,16.85352516,600,0,"LAOC","ABGR",125,725,2022
"9","H15","School","-117.5137322_46.26809684",-117.5137322,46.26809684,51.25,28.75,43.75,2.5,46.25,41.25,-0.342705665306673,23.15473366,800,2.47396,"PSME","PIPO",0,800,2022
"10","H18","School","-117.6030707_46.24760116",-117.6030707,46.24760116,2.5,28.75,47.5,7.5,48.75,46.25,-0.342705553293945,16.11786842,2200,0.52083,"?-ABGR","ABGR",25,2225,2022
"11","H2","School","-117.5405843_46.27721889",-117.5405843,46.27721889,11.25,25,27.5,20,27.5,30,-0.342705607113488,9.550437927,400,0,"ABGR","PIPO",0,400,2022
"12","HRN1","Hash Rock","-120.542396321_44.471697515",-120.542396321,44.471697515,32.5,6.25,63.75,0,62.5,35,-0.342705577754137,15.09740734,0,0.651041667,"PSME","N/A",0,0,2022
"13","HRN11","Hash Rock","-120.447936914_44.473558838",-120.447936914,44.473558838,45,18.75,38.75,2.5,52.5,28.75,-0.342705555843132,19.22698212,450,0,"ABGR","PIPO",25,475,2022
"14","HRN2","Hash Rock","-120.542380917_44.470704422",-120.542380917,44.470704422,12.5,2.5,31.25,0,30,43.75,-0.342705574376556,19.98384094,50,0.911458333,"PSME","PIPO",0,50,2022
"15","HRN5","Hash Rock","-120.437994739_44.483361403",-120.437994739,44.483361403,0,2.5,10,45,51.25,32.5,-0.342705602110707,14.01223755,29000,14.0625,"LAOC-PIPO","LAOC",50,29050,2022
"16","HRS4","Hash Rock","-120.541076783_44.477715969",-120.541076783,44.477715969,10,5,77.5,0,52.5,35,-0.342705756944169,15.93197632,50,1.041666667,"PIPO","PIPO",0,50,2022
"17","HRS8","Hash Rock","-120.457295014_44.467842973",-120.457295014,44.467842973,20,10,55,0,48.75,22.5,-0.342705758584453,13.35373592,0,0.78125,"N/A","N/A",0,0,2022
"18","M24","School","-117.5654794_46.25563003",-117.5654794,46.25563003,0,3,15,70,68.75,26.25,-0.342705768565271,4.18580389,0,47.6563,"PSME","PIPO",0,0,2022
