X,Long,Lat,postdisturbance_nbr,delta_nbr,relative_regrowth,pct_recovery,postfire_fitted_rsq,postfire_fitted_slope,cluster,x_y,Plot,fire,canopy_cover,veg_height,hli,cwd_present,cwd_future,elevation,TE_future,TE_present,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,predisturbance_nbr,disturbance_nbr,dnbr,absolute_regrowth,max.postfire.nbr,time_to_0.8recovery,time_to_0.6recovery,postfire_ppt,postfire_tmin,postfire_tmax,postfire_vpdmin,postfire_vpdmax,postfire_tmean,precip,tmean,vpdmax,re.0gen_prob
1,-117.49815249276,46.2831816351226,233,-472.2,-1.24416728565916,0.689166193987521,0.59713531384832,25.8791208791209,2,-117.49815249276_46.2831816351226,NA,School,55,111,159,300,429,1342,N,N,658,735,734,718,669,688,752,752,681,665,0,232,190,305,7,168,201,231,309,350,337,411,450,486,705.2,116,665,-172.089587510265,486,NA,12,641.697801852053,3.47860412942678,11.9248539717914,3.0217397146424,10.5705681880724,7.70172905060909,695.44683888037,7.77805219876521,9.87916036597848,0.62268203496933
2,-117.502629423467,46.2782419369829,395,-312.6,-0.856598423400044,0.891746749576032,0.527627745029548,21.478021978022,1,-117.502629423467_46.2782419369829,NA,School,65,110,115,277,399,1446,N,N,643,707,727,709,694,693,693,741,764,705,0,385,425,451,245,363,287,371,476,489,458,588,586,631,707.6,192.5,705,-83.8698489683468,631,11,2,641.697801852053,3.47860412942678,11.9248539717914,3.0217397146424,10.5705681880724,7.70172905060909,703.902790457385,7.56289423758623,9.64976716583652,NA
3,-117.5078939,46.28385453,370.3,-252.1,-0.644613194608961,0.708547557840617,0.0381171992748842,2.15384615384615,2,-117.5078939_46.28385453,M29,School,55,111,146,322,455,1318,N,N,626,652,554,660,631,561,610,607,719,604,83,389,428,394,333,413,298,382,348,333,385,410,422,441,622.4,236,521,-45.5908276289657,441,NA,1,641.697801852053,3.47860412942678,11.9248539717914,3.0217397146424,10.5705681880724,7.70172905060909,688.29086920609,7.94413864618923,10.1028154609265,NA
4,-117.513225701134,46.2706965937483,351.9,-343.9,0.330838830250081,0.69272779534349,0.678243651678148,17.8736263736264,1,-117.513225701134_46.2706965937483,NA,School,55,111,127,300,426,1443,N,N,751,721,713,719,717,661,686,649,714,627,0,243,212,321,344,428,290,413,451,419,398,419,482,444,695.8,121.5,627,40.5414755451855,482,NA,5,641.697801852053,3.47860412942678,11.9248539717914,3.0217397146424,10.5705681880724,7.70172905060909,721.558709078648,7.79306948212549,9.9047297857169,NA
5,-117.5135114,46.28296352,379.4,-313.7,0.294824460902766,0.910402539316116,0.953909094432483,34.5659340659341,1,-117.5135114_46.28296352,M28,School,55,111,107,322,455,1318,N,N,634,719,668,684,691,685,735,711,707,697,0,162,303,333,314,367,428,441,442,482,522,594,616,631,693.1,81,697,39.2779574719743,631,11,6,641.697801852053,3.47860412942678,11.9248539717914,3.0217397146424,10.5705681880724,7.70172905060909,700.912097217364,7.84082928231135,10.3663880729207,0.660793781280518
6,-117.513683923678,46.2826396120548,353.3,-298.8,0.352580962110718,0.921637785615703,0.929624890704809,33.0934065934066,1,-117.513683923678_46.2826396120548,NA,School,55,111,100,322,455,1318,N,N,608,608,607,673,624,744,664,684,664,645,0,142,237,344,334,356,315,412,450,438,505,527,582,601,652.1,71,645,46.2756862843822,601,11,7,641.697801852053,3.47860412942678,11.9248539717914,3.0217397146424,10.5705681880724,7.70172905060909,700.912097217364,7.84082928231135,10.3663880729207,0.660793781280518
7,-117.5137322,46.26809684,226.8,-379.4,-0.156637937349638,0.532827449686572,0.569727483122261,16.1538461538462,2,-117.5137322_46.26809684,H15,School,65,111,149,294,417,1343,N,N,593,615,633,657,614,562,588,598,589,613,0,22,223,195,253,269,157,305,266,270,308,289,323,320,606.2,11,613,-19.3812356978812,323,NA,NA,641.697801852053,3.47860412942678,11.9248539717914,3.0217397146424,10.5705681880724,7.70172905060909,721.558709078648,7.79306948212549,9.9047297857169,NA
8,-117.518631283716,46.2659319898571,321.4,-432.3,-0.0970012225677041,0.651452832692052,0.685433018427567,18.5714285714286,1,-117.518631283716_46.2659319898571,NA,School,55,111,108,309,435,1343,N,N,769,758,761,750,739,720,760,747,754,779,0,148,289,316,286,404,309,368,398,349,347,456,409,491,753.7,74,779,-14.1198800129535,491,NA,11,862.555664294239,2.94433737732931,11.1037090442148,2.92218867006514,9.95329681930266,7.02402321077205,741.721014243021,7.80716229717402,9.90438002128746,NA
9,-117.526858368473,46.2987138998204,243.2,-426.1,-1.65367836879154,0.485581951292395,0.03792412026539,-1.86813186813186,2,-117.526858368473_46.2987138998204,NA,School,55,111,130,317,444,1269,N,N,664,643,668,685,661,676,658,652,699,687,223,325,206,263,247,264,207,272,252,188,208,236,268,272,669.3,274,464,-174.908224534533,325,NA,NA,749.386384950805,3.45736659071865,11.7993239684283,3.01442378997224,10.4726554687499,7.62834527957346,639.696132084914,7.95336647462253,10.5847101427251,NA
10,-117.532276455232,46.3062892790384,299.4,-414.4,-1.1528223798834,0.525357242925189,0.174719276679682,-4.62637362637363,2,-117.532276455232_46.3062892790384,NA,School,55,111,133,329,458,1224,N,N,723,711,750,706,715,736,686,681,710,720,184,330,312,360,306,375,266,273,286,206,280,315,314,284,713.8,257,536,-115.656075069316,375,NA,NA,749.386384950805,3.45736659071865,11.7993239684283,3.01442378997224,10.4726554687499,7.62834527957346,650.560136038821,8.12179591503484,10.4710629461804,NA
11,-117.53386892561,46.297913367276,202,-491.5,-0.963132526215436,0.364816149963951,0.53831839649141,-7.17582417582418,2,-117.53386892561_46.297913367276,NA,School,65,110,166,317,444,1269,N,N,705,647,693,723,693,694,674,709,703,694,0,253,209,247,215,251,201,195,161,136,152,169,174,193,693.5,126.5,694,-124.208732237361,253,NA,NA,749.386384950805,3.45736659071865,11.7993239684283,3.01442378997224,10.4726554687499,7.62834527957346,677.79832285128,8.11014413168106,10.3182401385302,NA
12,-117.5343066,46.29348527,72.3,-520.3,-1.73042128110446,0.435369557880527,0.00375206646201162,1.06043956043957,2,-117.5343066_46.29348527,H1,School,55,111,176,317,444,1269,N,N,605,543,621,596,553,619,613,620,590,566,0,258,0,88,51,55,27,70,63,43,68,155,144,115,592.6,129,566,-228.512589924504,258,NA,NA,749.386384950805,3.45736659071865,11.7993239684283,3.01442378997224,10.4726554687499,7.62834527957346,692.148083370139,8.06422233412132,10.1625457570118,NA
13,-117.536073242819,46.3362138687555,234.6,-310.4,-0.235817057748151,0.711926605504587,0.698651278488417,20.0274725274725,1,-117.536073242819_46.3362138687555,NA,School,45,110,119,366,504,1083,N,N,698,574,595,369,519,538,528,527,563,539,0,172,175,114,241,331,186,271,248,235,373,370,388,387,545,86,539,-25.6342913317024,388,NA,5,623.133101242997,2.81393134682612,12.7975378728921,2.38509329822322,11.2816399691879,7.80573460985912,634.937919426081,8.39917575402481,11.3448024110177,0.645421504974365
14,-117.538313379524,46.262122035551,432.6,-149.5,0.959619384676593,1.01185363339632,0.759678986757128,29.9230769230769,1,-117.538313379524_46.262122035551,NA,School,55,110,110,277,394,1357,N,N,400,545,542,537,600,575,625,637,675,685,0,136,346,349,379,457,416,575,538,564,566,554,589,555,582.1,68,685,109.679288675915,589,7,4,862.555664294239,2.94433737732931,11.1037090442148,2.92218867006514,9.95329681930266,7.02402321077205,818.805579081065,7.43265072024171,9.55685266759255,NA
