"","x_y","Long","Lat","Plot","fire","canopy_cover","veg_height","hli","cwd_present","cwd_future","elevation","TE_future","TE_present","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","predisturbance_nbr","postdisturbance_nbr","disturbance_nbr","delta_nbr","dnbr","absolute_regrowth","relative_regrowth","max.postfire.nbr","pct_recovery","time_to_0.8recovery","time_to_0.6recovery","postfire_ppt","postfire_tmin","postfire_tmax","postfire_vpdmin","postfire_vpdmax","postfire_tmean"
"1","-117.5078939_46.28385453",-117.5078939,46.28385453,"M29","School",55,111,146,322,455,1318,"N","N",626,652,554,660,631,561,610,607,719,604,83,389,428,394,333,413,298,382,348,333,385,410,422,441,622.4,370.3,236,-252.1,521,-45.5908276289657,-0.644613194608961,441,0.708547557840617,NA,1,641.697801852053,3.47860412942678,11.9248539717914,3.0217397146424,10.5705681880724,7.70172905060909
"2","-117.5135114_46.28296352",-117.5135114,46.28296352,"M28","School",55,111,107,322,455,1318,"N","N",634,719,668,684,691,685,735,711,707,697,0,162,303,333,314,367,428,441,442,482,522,594,616,631,693.1,379.4,81,-313.7,697,39.2779574719743,0.294824460902766,631,0.910402539316116,11,6,641.697801852053,3.47860412942678,11.9248539717914,3.0217397146424,10.5705681880724,7.70172905060909
"3","-117.5137322_46.26809684",-117.5137322,46.26809684,"H15","School",65,111,149,294,417,1343,"N","N",593,615,633,657,614,562,588,598,589,613,0,22,223,195,253,269,157,305,266,270,308,289,323,320,606.2,226.8,11,-379.4,613,-19.3812356978812,-0.156637937349638,323,0.532827449686572,NA,NA,641.697801852053,3.47860412942678,11.9248539717914,3.0217397146424,10.5705681880724,7.70172905060909
"4","-117.5343066_46.29348527",-117.5343066,46.29348527,"H1","School",55,111,176,317,444,1269,"N","N",605,543,621,596,553,619,613,620,590,566,0,258,0,88,51,55,27,70,63,43,68,155,144,115,592.6,72.3,129,-520.3,566,-228.512589924504,-1.73042128110446,258,0.435369557880527,NA,NA,749.386384950805,3.45736659071865,11.7993239684283,3.01442378997224,10.4726554687499,7.62834527957346
"5","-117.5405843_46.27721889",-117.5405843,46.27721889,"H2","School",55,111,126,278,394,1429,"N","N",698,716,696,752,768,640,711,758,749,736,0,0,172,199,118,188,45,140,223,250,239,334,414,434,722.4,157.4,0,-565,736,-170.593193638113,-1.03034703563817,434,0.60077519379845,NA,13,749.386384950805,3.45736659071865,11.7993239684283,3.01442378997224,10.4726554687499,7.62834527957346
"6","-117.5618789_46.25715141",-117.5618789,46.25715141,"M4","School",55,110,229,272,393,1499,"N","N",546,619,657,643,623,607,627,626,656,628,0,237,386,428,505,514,412,539,472,524,537,527,535,527,623.2,455.4,118.5,-167.8,628,148.211907733402,1.56552033532069,539,0.864890885750963,4,2,975.165864190642,2.21037339972291,10.845363141871,2.71643434811256,9.90550656791395,6.52786827079696
"7","-117.5654794_46.25563003",-117.5654794,46.25563003,"M24","School",65,111,205,265,380,1519,"N","N",543,578,613,612,607,586,568,571,611,585,6,179,120,204,297,393,418,554,599,616,636,657,701,683,587.4,401.6,92.5,-185.8,579,97.9626893406886,0.831968566486407,701,1.19339462036091,7,5,975.165864190642,2.21037339972291,10.845363141871,2.71643434811256,9.90550656791395,6.52786827079696
"8","-117.5839002_46.29206069",-117.5839002,46.29206069,"H12","School",55,110,87,307,427,1410,"N","N",676,734,614,477,498,580,569,619,589,647,83,387,220,280,239,287,209,223,195,243,271,299,303,266,600.3,255.4,235,-344.9,564,-134.359048887409,-1.49190901768555,387,0.644677661169415,NA,1,885.482776937265,2.90299271077027,11.5860618200007,2.89221758576463,10.4930155299438,7.24452726538548
"9","-117.5946108_46.28661109",-117.5946108,46.28661109,"H10","School",75,111,138,287,407,1381,"N","N",770,789,804,802,791,802,801,834,814,783,0,389,320,280,131,282,201,289,312,267,295,355,379,377,799,276.6,194.5,-522.4,783,-199.92964010663,-1.47374846328049,389,0.486858573216521,NA,NA,885.482776937265,2.90299271077027,11.5860618200007,2.89221758576463,10.4930155299438,7.24452726538548
"10","-117.6024083_46.2467702",-117.6024083,46.2467702,"M27","School",55,111,107,319,441,1465,"N","N",653,733,666,709,659,701,612,671,660,629,0,186,327,329,383,399,392,478,506,517,555,622,619,688,669.3,407.2,93,-262.1,629,78.4153374884787,0.708011772381781,688,1.02793963842821,10,7,997.940814568214,2.51040982241677,11.676513686971,2.61485291875298,10.5523832754278,7.09346175469386
