NewSiteID,OldSiteID,delta_nbr,relative_regrowth,pct_recovery,postfire_fitted_slope,cluster,x_y,x,y,fire,canopy_cover,veg_height,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,predisturbance_nbr,postdisturbance_nbr,disturbance_nbr,absolute_regrowth,max.postfire.nbr,time_to_0.8recovery,time_to_0.6recovery,hli
EG-B1-1,EG_3_1,-315.2846408,0.866897725,0.809544831,42.80682849,1,-119.381351316_43.824354036,-119.3813513,43.82435404,egley,45,111,385.0227051,379.4623108,366.6526794,373.0591736,420.7781677,381.9117126,383.1141357,397.9848938,431.2251282,445.6994019,-432.07547,-434.947052,-195.3125,80.60708618,61.5018692,103.1390152,134.9389648,-1.199760079,48.07121658,161.8685455,241.210144,177.2393188,264.4978638,320.9772644,396.4910309,81.20639004,-433.511261,156.2240925,320.9772644,13,10,178
EG-B2-1,EG_4_1,-420.300067,-0.293130714,0.865204315,61.02195105,1,-119.354793316_43.671460036,-119.3547933,43.67146004,egley,45,111,462.6060181,425.2394714,476.1341248,454.7667236,411.5755615,415.5844116,432.4213867,436.6082458,486.0681152,449.9406433,-437.6098328,-416.8157349,-174.3644867,-68.3068924,-169.1752014,-140.2323761,-86.60597992,-15.61338329,42.95074081,193.976181,334.2683411,331.0470886,385.0976563,317.0115967,445.0944702,24.79440317,-427.2127838,-55.94249852,385.0976563,12,10,137
EG-B3-1,EG_7_1,-244.5636189,0.00325098,0.595428688,28.66759552,1,-119.596254316_43.856302036,-119.5962543,43.85630204,egley,35,111,200.2518921,258.5499268,230.2158203,204.2457428,212.1212158,224.2843628,224.719101,224.9502258,250.08461,269.0389099,-339.4255981,-268.1409912,-77.8635788,-131.2360992,-118.1334915,-60.33306122,-24.20656204,-19.40035248,46.50596619,60.75833893,76.78160858,99.95285034,115.1600113,136.8570099,229.8461807,-14.71743813,-303.7832947,0.36474647,136.8570099,NA,NA,173
EG-B4-1,EG_12_1,-259.8881905,0.429114262,1.01048171,39.76845638,1,-119.360484316_43.791102036,-119.3604843,43.79110204,egley,45,110,322.4043579,383.5125427,385.9896545,395.1170959,410.6186218,400.4728088,401.412262,432.0038452,368.5649109,352.0992432,-384.9582214,-250.1098938,102.0059738,53.9656601,72.64424896,-7.683864117,73.82550049,9.317927361,88.65979004,215.3354645,319.7236328,325.519104,389.2572937,335.4363708,385.2195343,125.3313438,-317.5340576,56.69298079,389.2572937,10,10,133
EG-B5-1,EG_19_1,-309.8158673,0.181633195,0.780733646,43.63714007,1,-119.392462316_43.705690036,-119.3924623,43.70569004,egley,45,110,311.1259155,401.1799316,379.5568237,340.3675842,357.9098206,372.2201843,352.4416199,336.6583557,347.507843,400.491394,-388.8888855,-384.6734619,-38.20539856,-92.48376465,-87.56021881,-72.62924194,-2.496532679,112.426033,125.5081329,154.9581604,180.2154694,221.568161,281.0219116,232.511322,359.9459473,50.13008001,-386.7811737,27.03662791,281.0219116,NA,11,201
EG-B6-1,EG_20_1,-290.4022293,0.136048496,0.768032791,48.70265659,1,-119.474304316_43.809032036,-119.4743043,43.80903204,egley,45,111,383.6150818,400.2665405,410.1027527,371.2891541,334.1677246,327.1343994,384.1489868,400.8130188,384.0975952,432.8873596,-308.7044678,-296.4867249,-139.1509399,-122.5666885,-46.43104553,2.733070135,82.55813599,109.5767059,197.5088959,264.9076538,293.5050659,281.8594666,294.0430908,273.6966858,382.8522614,92.45003202,-302.5955963,21.97170372,294.0430908,NA,9,147
EG-B7-1,EG_22_1,-353.933638,-0.030778742,0.645162583,33.47798932,1,-119.371324316_43.783278036,-119.3713243,43.78327804,egley,45,111,313.214447,358.3293762,323.7539368,345.4545593,335.3684998,284.7623291,355.6747131,272.1631165,293.350708,323.3287964,-316.0377502,-356.0666199,-197.496521,56.33270264,-128.2051239,-81.20649719,-68.67079163,-102.880661,-33.03471375,21.75622559,105.913269,93.55621338,127.0996628,206.8004456,320.5400482,-33.39358978,-336.0521851,-4.293894859,206.8004456,NA,13,164
EG-B8-1,EG_29_1,-380.6668072,0.001090101,0.657569372,45.24919327,1,-119.379996316_43.704060036,-119.3799963,43.70406004,egley,45,110,470.5882263,463.1147461,428.5714417,421.9043884,397.317688,424.0663757,417.4125366,398.6513367,446.2490234,453.1685791,-368.366272,-359.9689636,-147.0361786,29.81410027,-103.8286819,-74.87623596,2.309468746,70.21517181,117.3123779,164.5699615,209.9147949,245.9814911,247.1462708,284.1386414,432.1044342,51.43762698,-364.1676178,0.185169201,284.1386414,NA,13,181
EG-B9-1,EG_33_1,-279.9727614,0.345820656,0.387740208,30.41643003,1,-119.374305316_43.829570036,-119.3743053,43.82957004,egley,35,110,228.7360229,232.7272797,235.2122498,223.0878143,227.9463654,213.7592163,244.6538544,233.0879822,242.2907562,276.8777466,-428.4581909,-351.2064209,-202.4659271,-105.0228348,-109.0018387,-112.1076202,-45.10451126,-4.573580742,25.08767128,6.25651741,58.16326523,47.42053223,91.44384766,90.13560486,235.8379288,-44.13483267,-389.8323059,46.99464127,91.44384766,NA,NA,204
EG-B1-2,EG_4_2,-335.9639431,0.892863689,0.38029308,23.61677361,2,-119.379454316_43.786538036,-119.3794543,43.78653804,egley,45,110,354.4147949,432.46698,424.4846497,397.3050232,424.5014343,404.3624268,401.0828857,424.5880737,428.0908203,467.8979797,-425.8928528,-406.730072,-124.9589996,78.4313736,70.74061584,102.4824982,151.4614716,54.90654373,94.81808472,158.1713104,144.9163513,68.58638763,40.60780716,132.0261383,415.9195068,79.95556374,-416.3114624,156.403615,158.1713104,NA,NA,198
