NewSiteID,OldSiteID,delta_nbr,relative_regrowth,pct_recovery,postfire_fitted_slope,cluster,x_y,x,y,fire,canopy_cover,veg_height,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,predisturbance_nbr,postdisturbance_nbr,disturbance_nbr,absolute_regrowth,max.postfire.nbr,time_to_0.8recovery,time_to_0.6recovery,hli
EG-1-1,EG_1_1,-348.2581483,0.66949737,0.5131028,37.05928807,1,-119.381080316_43.786212036,-119.3810803,43.78621204,egley,45,111,461.9411926,485.5932312,415.5324402,412.2449036,437.0671997,416.1385803,392.223175,385.4077148,414.5739136,454.0794678,-435.9649048,-412.0202637,-152.4137878,113.3004913,29.11392403,10.17576313,34.05066681,81.83737946,122.8421326,146.5028381,219.3412781,187.4696503,211.4730225,204.0717468,427.4801819,79.2220336,-423.9925842,113.5632918,219.3412781,NA,NA,201
EG-2-1,EG_2_1,-278.359757,-0.66931568,0.947920134,32.86190697,1,-119.355064316_43.791428036,-119.3550643,43.79142804,egley,45,111,325.9441833,437.0237427,446.1538391,405.5374451,433.8997192,396.777832,413.1683655,424.2038269,445.0178528,407.7901306,-136.322052,-130.6335754,195.4242096,92.35668945,63.65631866,10.30927849,53.970047,43.39908981,101.4492722,190.773407,287.8157043,312.7653503,371.9165039,392.0139771,413.5516937,135.1919367,-133.4778137,-70.19502783,392.0139771,12,10,134
EG-3-1,EG_6_1,-447.4537508,-0.106474065,0.700258766,54.46882441,1,-119.582704316_43.876188036,-119.5827043,43.87618804,egley,45,111,436.4963379,465.0802002,459.1836853,449.4117737,470.3832703,356.6493835,344.8747253,387.3873901,469.3345032,493.8552551,-406.0150452,-384.2538147,-345.6153259,-154.6052704,-137.8665009,-58.26112747,-31.60336304,12.31113625,87.95309448,126.7258377,155.6006012,203.4799347,251.4131165,303.3980713,433.2656525,-14.18809834,-395.1344299,-20.36020765,303.3980713,NA,13,169
EG-4-1,EG_9_1,-358.4651045,0.020918243,0.577432883,41.8036166,1,-119.596254316_43.850760036,-119.5962543,43.85076004,egley,45,110,334.0184937,503.9370117,425.692688,376.5968323,359.8742676,303.1325378,379.2079163,389.9463196,369.4430237,431.4994507,-372.577179,-365.3465271,-170.4147949,-21.95791435,-126.7361145,-58.25242615,-25.64102554,58.23863602,97.98471069,119.9486847,191.8678589,223.6598816,196.9748993,193.4865875,387.3348541,28.86974964,-368.961853,3.438134873,223.6598816,NA,NA,108
EG-5-1,EG_21_1,-271.857119,1.114167349,0.617708373,37.94134276,1,-119.380538316_43.821420036,-119.3805383,43.82142004,egley,45,111,386.3186951,345.3608398,379.2250671,374.4821777,353.0620728,345.6737061,363.4462585,335.8490601,354.9473572,385.4845581,-458.432312,-460.2794495,-175.3479156,107.0631943,60.16980362,37.0370369,100.939682,69.90013885,100.0885773,180.5900269,223.8482361,200.9898224,174.4829559,206.9161072,362.3849792,90.52786026,-459.3558807,185.7585772,223.8482361,NA,10,145
EG-6-1,EG_23_1,-460.6434402,0.095722083,0.691841809,47.28329918,1,-119.364278316_43.790776036,-119.3642783,43.79077604,egley,45,111,532.5507202,647.522522,621.7345581,604.489563,678.3754272,629.4800415,607.626709,658.7872314,532.1463623,525.8526001,-361.6766357,-308.8857422,56.66530609,52.45901489,60.49822235,27.19572067,50.54432297,92.75009918,131.5209351,262.5698242,356.7944336,341.1334534,386.7243958,417.7732239,603.8565735,143.2131332,-335.281189,18.38417821,417.7732239,NA,12,101
EG-7-1,EG_24_1,-299.7385038,0.484672178,0.514137059,31.3882531,1,-119.371324316_43.829896036,-119.3713243,43.82989604,egley,45,111,363.5738831,355.572998,397.5720825,361.0369873,361.3124695,346.5952454,346.1689453,345.1676636,382.4451294,417.6817322,-354.0782776,-321.8977966,-118.2108612,25.04065132,-6.748466492,52.17391205,32.72516632,90.48588562,123.903511,138.0753174,183.9080505,158.3889313,137.5097504,189.0547333,367.7127136,67.97420979,-337.9880371,71.9055217,189.0547333,NA,NA,146
EG-8-1,EG_26_1,-357.2734769,-0.021719536,0.419162566,34.35180476,1,-119.305200316_43.833808036,-119.3052003,43.83380804,egley,35,110,281.4877319,392.0220032,326.9946289,261.9440002,270.5980835,309.106842,276.1488037,283.3333435,286.755249,297.0050049,-370.9368896,-334.0540466,-242.6240845,-131.9587555,-131.6382294,-70.62746429,-113.9162598,-27.59448051,-67.48826599,13.81287479,103.2341537,81.46143341,125.1366119,105.8823547,298.5395691,-58.73390779,-352.4954681,-3.230027189,125.1366119,NA,NA,198
EG-9-1,EG_27_1,-306.0492512,-0.015015285,0.739951609,36.06941883,1,-119.385416316_43.838046036,-119.3854163,43.83804604,egley,45,110,433.9477844,505.244751,505.4393311,497.8466797,446.2947693,443.8274231,513.0505981,476.0274048,491.9187622,551.5855103,-101.511879,-180.0968781,-26.1096611,103.4482727,91.55429077,100.5878525,196.3325958,152.5525513,228.2479095,269.7791443,355.3485718,332.9489746,222.7642212,360,486.5183014,180.4690502,-140.8043785,-2.244860045,360,NA,10,182
EG-10-1,EG_28_1,-365.7117391,0.029760517,0.42014502,37.17631753,1,-119.294089316_43.859236036,-119.2940893,43.85923604,egley,45,110,277.3536987,328.4671631,313.3423157,277.1778259,278.5292969,242.8160858,304.5356445,288.6671448,324.7137146,330.3448181,-372.848938,-381.8074646,-302.6886292,-217.0797272,-139.834137,-84.284935,-47.66949081,-25.93360901,-8.709422112,27.11783028,35.35723114,72.5552063,53.64910507,124.6128159,296.5947708,-69.11696825,-377.3282013,4.970737012,124.6128159,NA,NA,192
