"","delta_nbr","relative_regrowth","pct_recovery","postfire_fitted_slope","cluster","x_y","x","y","fire","canopy_cover","veg_height","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","predisturbance_nbr","postdisturbance_nbr","disturbance_nbr","absolute_regrowth","max.postfire.nbr","time_to_0.8recovery","time_to_0.6recovery","hli","SiteID"
"1",-313.08155040741,0.686147768149036,0.783311111944905,50.5054390666249,1,"-119.649912316_43.814248036",-119.649912316,43.814248036,"egley",45,111,502.545440673828,577.246276855469,527.842224121094,546.89404296875,504.488342285156,471.428558349609,464.410736083984,500.54052734375,535.097839355469,509.080261230469,-386.967010498047,-292.11572265625,-94.3396224975586,25.8192653656006,31.9504051208496,107.27808380127,246.437545776367,251.837524414062,314.100250244141,402.588562011719,401.709411621094,321.377319335938,374.219604492188,357.784423828125,513.957424926758,200.875874519348,-339.541366577148,123.793561029782,402.588562011719,NA,8,168,"EG_1_1"
"2",-264.692960262299,1.34139143210107,0.660947841157389,42.8621154407879,1,"-119.294360316_43.861518036",-119.294360316,43.861518036,"egley",45,110,409.629638671875,383.628814697266,353.194549560547,401.808319091797,382.564849853516,369.469024658203,386.111114501953,322.897705078125,369.747894287109,383.33935546875,-415.457305908203,-428.161743164062,-273.916595458984,-9.21658992767334,134.566146850586,130.530364990234,186.978302001953,139.058166503906,161.145431518555,208.12451171875,218.143676757812,220.048248291016,214.63151550293,248.674438476562,376.239126586914,111.546166324615,-421.809524536133,239.875774342673,248.674438476562,NA,13,192,"EG_2_1"
"3",-415.201501464844,0.786680185759582,0.576169555985893,39.4823576539427,1,"-119.372408316_43.791754036",-119.372408316,43.791754036,"egley",55,111,624.615356445312,634.642700195312,652.291076660156,609.103088378906,602.478942871094,585.069458007812,564.432983398438,639.784973144531,665.914245605469,665.594848632812,-371.935302734375,-385.164611816406,-82.7722778320312,165.106704711914,222.703979492188,242.711868286133,271.643890380859,155.725189208984,196.233520507812,290.078948974609,357.816711425781,272.664123535156,289.502349853516,359.756103515625,624.392767333984,209.191265869141,-378.549957275391,171.66695048864,359.756103515625,NA,NA,129,"EG_3_1"
"4",-290.23091545105,-0.354446666724036,0.683872070227766,31.2089322792305,1,"-119.648286316_43.840328036",-119.648286316,43.840328036,"egley",25,110,233.46614074707,324.546966552734,310.265289306641,269.378356933594,274.376403808594,249.230773925781,264.612945556641,274.716674804688,321.949188232422,357.142852783203,-249.246231079102,-247.892074584961,-116.564414978027,-81.0810775756836,-88.7700500488281,-51.3430824279785,-28.1954879760742,20.0918483734131,11.6686115264893,78.893440246582,97.90576171875,134.770889282227,140.895355224609,196.933654785156,287.968559265137,-2.26235618591309,-248.569152832031,-43.0161353111289,196.933654785156,NA,13,206,"EG_4_1"
"5",-341.856292629242,0.0791175160663651,0.663427039512315,33.1490528190529,1,"-119.475388316_43.806424036",-119.475388316,43.806424036,"egley",35,110,297.531677246094,230.71403503418,271.252197265625,309.715881347656,289.672546386719,315.352691650391,284.132843017578,312.361206054688,341.726623535156,333.09326171875,-443.519622802734,-339.960235595703,-118.633346557617,-179.310348510742,-90.6466522216797,-34.0756645202637,-72.1752090454102,-61.2813377380371,-31.9218235015869,12.5252523422241,88.0568923950195,54.4522743225098,121.433036804199,198.06965637207,298.555296325684,-43.3009963035583,-391.739929199219,11.861166478203,198.06965637207,NA,13,198,"EG_5_1"
"6",-337.236458969116,0.566511988852167,0.488285935181725,38.4373524843991,1,"-119.373763316_43.825658036",-119.373763316,43.825658036,"egley",35,110,364.579620361328,396.993103027344,375.247131347656,392.526824951172,318.681304931641,325.851715087891,373.939849853516,396.075286865234,393.014862060547,398.763519287109,-442.334411621094,-395.967742919922,-186.055328369141,-88,-17.7960300445557,61.6482810974121,30.0563564300537,40.7560539245605,74.0415573120117,121.479377746582,179.6103515625,147.568008422852,179.386093139648,182.407669067383,373.567321777344,36.3308628082275,-419.151077270508,101.577850683319,182.407669067383,NA,NA,186,"EG_6_1"
"7",-347.406958055496,0.136203891481875,0.440811056376217,36.2395025269016,1,"-119.386229316_43.795992036",-119.386229316,43.795992036,"egley",45,110,307.411895751953,306.850433349609,299.726440429688,290.752349853516,296.737030029297,266.378967285156,284.073516845703,336.808349609375,336.290313720703,302.672943115234,-389.540130615234,-364.114105224609,-239.436614990234,-142.556182861328,-155.217971801758,-43.0281448364258,-27.5173873901367,-25.1318645477295,-4.41046762466431,38.4187088012695,52.2911033630371,100.221481323242,126.659294128418,133.464462280273,302.770223999023,-44.6367340564728,-376.827117919922,21.8544518455366,133.464462280273,NA,NA,177,"EG_7_1"
"8",-233.870767593384,1.12230511205022,0.825233887125268,41.5772741967505,1,"-119.320376316_43.865430036",-119.320376316,43.865430036,"egley",45,111,392.284057617188,448.154663085938,457.348419189453,414.098480224609,417.305572509766,421.379302978516,434.767883300781,448.89501953125,483.122375488281,487.033752441406,-353.338958740234,-315.616790771484,-27.3698272705078,42.1455955505371,172.727279663086,205.660949707031,260.572998046875,218.197128295898,239.002517700195,314.659698486328,355.024932861328,285.060577392578,363.465148925781,334.034729003906,440.438952636719,206.568185043335,-334.477874755859,187.842688353922,363.465148925781,10,9,102,"EG_8_1"
"9",-263.127222251892,-0.387145951462395,0.511587561646592,31.0312601026598,1,"-119.326067316_43.813596036",-119.326067316,43.813596036,"egley",35,110,182.141708374023,212.032287597656,196.617340087891,187.521194458008,191.939208984375,194.603713989258,221.692932128906,184.759170532227,185.523544311523,292.158233642578,-237.88151550293,-296.052642822266,-214.50993347168,-129.457122802734,-131.942398071289,-100.136428833008,-83.2902221679688,-67.8623352050781,-51.9669761657715,30.2610301971436,104.823745727539,61.7977523803711,99.636360168457,88.8676528930664,204.898933410645,-58.2282888412476,-266.967079162598,-44.4467588968491,104.823745727539,NA,NA,164,"EG_9_1"
"10",-315.268132424355,0.927375281998809,0.622699359273479,37.4200807560931,1,"-119.316582316_43.830222036",-119.316582316,43.830222036,"egley",45,111,433.088226318359,410.590942382812,400.618713378906,405.067932128906,425.482635498047,384.861846923828,345.397338867188,409.927947998047,382.317321777344,449.038055419922,-322.033905029297,-418.747741699219,-202.408828735352,-1.66944909095764,143.961349487305,160.769714355469,118.963485717773,62.1009864807129,69.2957763671875,116.680137634277,251.968505859375,174.047958374023,214.062942504883,221.094192504883,404.639096069336,89.3709636449814,-370.390823364258,160.730798310732,251.968505859375,NA,10,171,"EG_10_1"
